candidate_id,decision,comment,reviewer_id,reviewer_role,reviewed_at
SAFE-OTC-01,include_for_verification,,권혁찬,research_advisor,2026-07-14T04:26:26.617Z
SAFE-OTC-02,include_for_verification,,권혁찬,research_advisor,2026-07-14T04:26:26.617Z
SAFE-OTC-03,include_for_verification,,권혁찬,research_advisor,2026-07-14T04:26:26.617Z
SAFE-OTC-04,include_for_verification,,권혁찬,research_advisor,2026-07-14T04:26:26.617Z
SAFE-OTC-05,include_for_verification,,권혁찬,research_advisor,2026-07-14T04:26:26.617Z
SAFE-OTC-06,include_for_verification,,권혁찬,research_advisor,2026-07-14T04:26:26.617Z
SAFE-OTC-07,include_for_verification,,권혁찬,research_advisor,2026-07-14T04:26:26.617Z
SAFE-OTC-08,include_for_verification,,권혁찬,research_advisor,2026-07-14T04:26:26.617Z
SAFE-OTC-09,include_for_verification,,권혁찬,research_advisor,2026-07-14T04:26:26.617Z
SAFE-OTC-10,include_for_verification,,권혁찬,research_advisor,2026-07-14T04:26:26.617Z
SAFE-OTC-11,include_for_verification,,권혁찬,research_advisor,2026-07-14T04:26:26.617Z
SAFE-OTC-12,include_for_verification,,권혁찬,research_advisor,2026-07-14T04:26:26.617Z
SAFE-OTC-13,include_for_verification,,권혁찬,research_advisor,2026-07-14T04:26:26.617Z
