rule_id,rule_type,status,severity,scope,message_ko,next_action_ko,source_id,source_locator
OTC-RULE-001,duplicate_ingredient,released,high,acetaminophen_containing_selected_products,같은 유효성분이 여러 제품에 포함되어 있습니다.,각 제품의 성분과 총 복용량을 확인하고 복용 전 약사 또는 의사와 상담하세요.,MFDS-NEDRUG-DETAIL,"타이레놀정500밀리그람(아세트아미노펜) (202106092) · 사용상의주의사항 PDF p.1, 문단 12"
OTC-RULE-002,duplicate_pharmacologic_class,released,high,ibuprofen_and_other_NSAIDs,같은 NSAID 계열 성분을 함께 복용할 수 있습니다.,함께 복용하지 말고 복용 전 약사 또는 의사와 상담하세요.,MFDS-NEDRUG-DETAIL,"어린이부루펜시럽(이부프로펜) (198601920) · 사용상의주의사항 PDF p.2, 문단 17"
OTC-RULE-003,max_daily_dose,released,high,acetaminophen_tylenol500_age_12_plus,계산된 하루 총량이 확인된 최대 1일 용량을 초과합니다.,추가 복용 전 약사 또는 의사와 상담하세요.,MFDS-NEDRUG-DETAIL,"타이레놀정500밀리그람(아세트아미노펜) (202106092) · 용법용량 PDF p.1, 문단 4"
OTC-RULE-004,minimum_interval,released,high,tylenol500_age_12_plus,이전 복용 후 확인된 최소 간격이 지나지 않았습니다.,다음 복용 시점을 약사 또는 의사에게 확인하세요.,MFDS-NEDRUG-DETAIL,"타이레놀정500밀리그람(아세트아미노펜) (202106092) · 용법용량 PDF p.1, 문단 3"
OTC-RULE-005,age_restriction,released,high,tylenol500_minimum_age_12,입력한 연령에 적용되는 제한 또는 별도 용량 기준이 있습니다.,소아·고령자 용법을 제품 허가사항과 전문가에게 확인하세요.,MFDS-NEDRUG-DETAIL,"타이레놀정500밀리그람(아세트아미노펜) (202106092) · 용법용량 PDF p.1, 문단 2"
OTC-RULE-006,pregnancy_lactation,released,high,ibuprofen_pregnancy_lactation,임신 또는 수유 중 주의가 필요한 제품이 포함되어 있습니다.,복용 전 의사 또는 약사와 상담하세요.,MFDS-NEDRUG-DETAIL,"어린이부루펜시럽(이부프로펜) (198601920) · 사용상의주의사항 PDF p.2, 문단 9"
OTC-RULE-007,hepatic_disease,released,high,acetaminophen_liver_disease,간질환과 관련해 주의가 필요한 제품이 포함되어 있습니다.,복용 전 의사 또는 약사와 상담하세요.,MFDS-NEDRUG-DETAIL,"타이레놀정500밀리그람(아세트아미노펜) (202106092) · 사용상의주의사항 PDF p.1, 문단 24"
OTC-RULE-008,renal_disease,released,high,ibuprofen_kidney_disease,신장질환과 관련해 주의가 필요한 제품이 포함되어 있습니다.,복용 전 의사 또는 약사와 상담하세요.,MFDS-NEDRUG-DETAIL,"어린이부루펜시럽(이부프로펜) (198601920) · 사용상의주의사항 PDF p.3, 문단 2"
OTC-RULE-009,gi_bleeding_ulcer,released,high,ibuprofen_gi_bleeding_or_ulcer,위장관 출혈 또는 궤양 위험과 관련된 제품이 포함되어 있습니다.,복용 전 의사 또는 약사와 상담하세요.,MFDS-NEDRUG-DETAIL,"어린이부루펜시럽(이부프로펜) (198601920) · 사용상의주의사항 PDF p.1, 문단 17"
OTC-RULE-010,sedation_driving,released,high,pancol_a_driving,졸림을 유발해 운전이나 기계 조작에 영향을 줄 수 있습니다.,운전·기계 조작을 피하고 허가사항을 확인하세요.,MFDS-NEDRUG-DETAIL,"판콜에이내복액 (196800036) · 사용상의주의사항 PDF p.3, 문단 8"
OTC-RULE-011,alcohol,released,high,acetaminophen_regular_alcohol_use,음주와 함께 복용할 때 주의가 필요한 제품이 포함되어 있습니다.,음주 중 복용 전 약사 또는 의사와 상담하세요.,MFDS-NEDRUG-DETAIL,"타이레놀정500밀리그람(아세트아미노펜) (202106092) · 사용상의주의사항 PDF p.1, 문단 3"
OTC-RULE-012,anticoagulant_antiplatelet,released,high,ibuprofen_warfarin_or_coumarin_anticoagulant,항응고제 또는 항혈소판제와 병용할 때 주의가 필요할 수 있습니다.,복용 전 처방한 의료진 또는 약사와 상담하세요.,MFDS-NEDRUG-DETAIL,"어린이부루펜시럽(이부프로펜) (198601920) · 사용상의주의사항 PDF p.4, 문단 10"
OTC-RULE-013,sedative_medication,released,high,pancol_a_sedative_or_overlapping_cold_medicine,진정 작용이 있는 약물과 함께 복용할 때 주의가 필요할 수 있습니다.,복용 전 약사 또는 의사와 상담하세요.,MFDS-NEDRUG-DETAIL,"판콜에이내복액 (196800036) · 사용상의주의사항 PDF p.1, 문단 20"
OTC-RULE-014,decongestant_hypertension,released,high,pancol_a_phenylephrine_hypertension,고혈압 또는 심혈관질환에서 비충혈제거제 주의가 필요할 수 있습니다.,복용 전 의사 또는 약사와 상담하세요.,MFDS-NEDRUG-DETAIL,"판콜에이내복액 (196800036) · 사용상의주의사항 PDF p.2, 문단 4"
OTC-RULE-015,maximum_duration,draft,caution,pancol_a_continuous_use,허가된 연속 복용 기간을 넘었을 수 있습니다.,증상이 지속되면 추가 복용 대신 약사 또는 의사와 상담하세요.,MFDS-NEDRUG-DETAIL,"판콜에이내복액 (196800036) · 사용상의주의사항 PDF p.3, 문단 6"
OTC-RULE-016,urgent_referral,released,urgent,tylenol500_stop_and_consult_symptoms,즉시 상담 또는 진료가 필요한 증상이 입력되었습니다.,지체하지 말고 의료기관 또는 응급상담을 이용하세요.,MFDS-NEDRUG-DETAIL,"타이레놀정500밀리그람(아세트아미노펜) (202106092) · 사용상의주의사항 PDF p.2, 문단 12-19"
