research_product_id,mfds_item_sequence,research_product_name,in_runtime,match_status,match_method,health_kr_item_seq,official_product_key,official_item_name,official_manufacturer,official_dosage_form,official_pack_unit,retail_sku_count,retail_display_links,official_source_url,stable_identifier_match,exact_name_match,manufacturer_match,dosage_form_match,package_compatible,ingredient_count_match,conflict_codes,decision_reason,mfds_promotion_evidence_complete,catalog_runtime_promotion_allowed
MFDS-201110646,201110646,덱스피드연질캡슐(덱시부프로펜),true,unlinked,none,,,,,,,0,,,false,false,false,false,false,false,,No exact official product-name identity was found.,false,false
MFDS-197500016,197500016,낙센정(나프록센),true,unlinked,none,,,,,,,0,,,false,false,false,false,false,false,,No exact official product-name identity was found.,false,false
MFDS-200610765,200610765,지르텍정(세티리진염산염),true,unlinked,none,,,,,,,0,,,false,false,false,false,false,false,,No exact official product-name identity was found.,false,false
MFDS-202106092,202106092,타이레놀정500밀리그람(아세트아미노펜),true,unlinked,none,,,,,,,0,,,false,false,false,false,false,false,,No exact official product-name identity was found.,false,false
MFDS-199402278,199402278,타이레놀정160밀리그람(아세트아미노펜),false,unlinked,none,,,,,,,0,,,false,false,false,false,false,false,,No exact official product-name identity was found.,false,false
MFDS-199303109,199303109,어린이용타이레놀정80밀리그람(아세트아미노펜),false,unlinked,none,,,,,,,0,,,false,false,false,false,false,false,,No exact official product-name identity was found.,false,false
MFDS-202200525,202200525,어린이타이레놀현탁액(아세트아미노펜),true,conflict,exact_name_conflict,2022020400007,2022020400007,어린이타이레놀현탁액,한국존슨앤드존슨판매,현탁액,"100밀리리터/병,500밀리리터/병",1,어린이타이레놀현탁액 [100mL],https://health.kr/searchDrug/result_drug.asp?drug_cd=2022020400007,false,true,false,true,true,true,MANUFACTURER_MISMATCH;NO_MFDS_HEALTH_KEY_CROSSWALK,"An exact product-name candidate exists, but composite identity evidence conflicts or lacks an MFDS-to-health.kr identifier crosswalk.",false,false
MFDS-198601920,198601920,어린이부루펜시럽(이부프로펜),true,success,exact_composite_identity,A11A0500A0154,A11A0500A0154,어린이부루펜시럽(80mL),삼일제약,현탁액,"80밀리리터/병, 90밀리리터/병, 1000밀리리터/병",1,어린이 부루펜시럽 [90ml],https://health.kr/searchDrug/result_drug.asp?drug_cd=A11A0500A0154,false,true,true,true,true,true,,"Exact product name, manufacturer, dosage form, retail package, and active-ingredient count agree; MFDS and health.kr identifiers remain separate.",false,false
MFDS-198700405,198700405,베아제정,true,unlinked,none,,,,,,,0,,,false,false,false,false,false,false,,No exact official product-name identity was found.,false,false
MFDS-200300406,200300406,닥터베아제정,true,success,exact_composite_identity,A11AOOOOO0816,A11AOOOOO0816,닥터베아제정,대웅제약,정제,"3정/PTP, 10정/PTP, 30정/병",1,닥터베아제 [10T],https://health.kr/searchDrug/result_drug.asp?drug_cd=A11AOOOOO0816,false,true,true,true,true,true,,"Exact product name, manufacturer, dosage form, retail package, and active-ingredient count agree; MFDS and health.kr identifiers remain separate.",false,false
MFDS-199900926,199900926,훼스탈골드정,true,success,exact_composite_identity,A11A0740B0011,A11A0740B0011,훼스탈골드정,한독,장용정,"6정(6정/PTP X 1), 30정/병",1,훼스탈골드 [30정],https://health.kr/searchDrug/result_drug.asp?drug_cd=A11A0740B0011,false,true,true,true,true,true,,"Exact product name, manufacturer, dosage form, retail package, and active-ingredient count agree; MFDS and health.kr identifiers remain separate.",false,false
MFDS-199801026,199801026,훼스탈플러스정,true,success,exact_composite_identity,A11A0740B0009,A11A0740B0009,훼스탈플러스정,한독,장용정,"6정(6정/PTP X 1), 10정(10정/PTP X 1), 20정(10정/PTP X 2), 100정(10정/PTP X 10), 100정/병",2,훼스탈플러스 [20정] | 훼스탈플러스 [100정],https://health.kr/searchDrug/result_drug.asp?drug_cd=A11A0740B0009,false,true,true,true,true,true,,"Exact product name, manufacturer, dosage form, retail package, and active-ingredient count agree; MFDS and health.kr identifiers remain separate.",false,false
MFDS-196800036,196800036,판콜에이내복액,true,unlinked,none,,,,,,,0,,,false,false,false,false,false,false,,No exact official product-name identity was found.,false,false
MFDS-199400202,199400202,판피린티정,true,unlinked,none,,,,,,,0,,,false,false,false,false,false,false,,No exact official product-name identity was found.,false,false
MFDS-198400250,198400250,제일쿨파프,true,unlinked,none,,,,,,,0,,,false,false,false,false,false,false,,No exact official product-name identity was found.,false,false
MFDS-200501321,200501321,신신파스아렉스,false,unlinked,none,,,,,,,0,,,false,false,false,false,false,false,,No exact official product-name identity was found.,false,false
