candidate_id,ingredient_id,jurisdiction,population,value,unit,threshold_type,scope,source_id,locator,source_note,review_status,reviewer_id,reviewed_at
NC-EFSA-VD-ADULT,vitamin_d,European Union,adults,100,ug_VDE_per_day,UL,"total intake; table conversion states 1 ug vitamin D2/D3 = 40 IU",EFSA_UL_SUMMARY_2024_06,"PDF p.4, Table 3, Vitamin D row and footnote (g)","adult table value; pregnancy/lactation also 100 ug/day",single_agent_extracted_unreviewed,,
NC-EFSA-B6-ADULT,vitamin_b6,European Union,adults,12,mg_per_day,UL,total intake,EFSA_UL_SUMMARY_2024_06,"PDF p.4, Table 3, Vitamin B6 row","summary table displays rounded 12 mg/day; underlying 2023 opinion must be checked before rule use",single_agent_extracted_unreviewed,,
NC-EFSA-MG-ADULT,magnesium,European Union,adults,250,mg_per_day,UL,"readily dissociable magnesium salts and MgO in supplements/water/added foods; excludes naturally present magnesium",EFSA_UL_SUMMARY_2024_06,"PDF p.2, Table 1, Magnesium row and footnote (g)","scope is not total dietary magnesium",single_agent_extracted_unreviewed,,
NC-EFSA-FE-ADULT,iron,European Union,adults,40,mg_per_day,safe_level,"total intake; does not apply to medically supervised iron-deficiency treatment",EFSA_UL_SUMMARY_2024_06,"PDF p.2 footnote (e); p.3 Table 2, Iron row","no UL derived; safe level is not an UL",single_agent_extracted_unreviewed,,
NC-EFSA-ZN-ADULT,zinc,European Union,adults,25,mg_per_day,UL,total intake,EFSA_UL_SUMMARY_2024_06,"PDF p.2, Table 1, Zinc row","SCF 2002 source; current jurisdictional applicability requires review",single_agent_extracted_unreviewed,,
NC-KDRI25-VD-ADULT,vitamin_d,Republic of Korea,adults_19_plus,100,ug_per_day,UL,total intake,KNS_KDRI_2025_BOOKS_CORRECTED_F4,"Vitamin book PDF p.12 (printed xii), 2025 KDRI fat-soluble vitamin summary, Vitamin D row","adult men and women 19+; pregnancy/lactation total UL also 100 ug/day",agent_visual_verified_not_expert,,
NC-KDRI25-B6-ADULT,vitamin_b6,Republic of Korea,adults_19_plus,50,mg_per_day,UL,total intake,KNS_KDRI_2025_BOOKS_CORRECTED_F4,"Vitamin book PDF p.14 (printed xiv), Vitamin B6 summary row","adult men and women 19+; pregnancy/lactation total UL also 50 mg/day",agent_visual_verified_not_expert,,
NC-KDRI25-MG-ADULT,magnesium,Republic of Korea,adults_19_plus,350,mg_per_day,UL,non_food_sources,KNS_KDRI_2025_BOOKS_CORRECTED_F4,"Mineral book PDF p.16 (printed xvi), macromineral summary, Magnesium non-food-source UL column","not total dietary magnesium",agent_visual_verified_not_expert,,
NC-KDRI25-FE-ADULT,iron,Republic of Korea,adults_19_plus,45,mg_per_day,UL,total intake,KNS_KDRI_2025_BOOKS_CORRECTED_F4,"Mineral book PDF p.17 (printed xvii), trace mineral summary, Iron row","adult men and women 19+; pregnancy/lactation total UL 45 mg/day",agent_visual_verified_not_expert,,
NC-KDRI25-ZN-ADULT,zinc,Republic of Korea,adults_19_plus,35,mg_per_day,UL,total intake,KNS_KDRI_2025_BOOKS_CORRECTED_F4,"Mineral book PDF p.17 (printed xvii), trace mineral summary, Zinc row","adult men and women 19+; pregnancy/lactation total UL 35 mg/day",agent_visual_verified_not_expert,,
NC-KDRI25-CA-M19-29,calcium,Republic of Korea,male_19_29,3000,mg_per_day,UL,total intake,KNS_KDRI_2025_BOOKS_CORRECTED_F4,"Mineral book PDF p.16 (printed xvi), macromineral summary, Calcium row","sex and age specific",agent_visual_verified_not_expert,,
NC-KDRI25-CA-M30PLUS,calcium,Republic of Korea,male_30_plus,2500,mg_per_day,UL,total intake,KNS_KDRI_2025_BOOKS_CORRECTED_F4,"Mineral book PDF p.16 (printed xvi), macromineral summary, Calcium row","sex and age specific",agent_visual_verified_not_expert,,
NC-KDRI25-CA-F19-29,calcium,Republic of Korea,female_19_29,2500,mg_per_day,UL,total intake,KNS_KDRI_2025_BOOKS_CORRECTED_F4,"Mineral book PDF p.16 (printed xvi), macromineral summary, Calcium row","sex and age specific",agent_visual_verified_not_expert,,
NC-KDRI25-CA-F30PLUS,calcium,Republic of Korea,female_30_plus,2000,mg_per_day,UL,total intake,KNS_KDRI_2025_BOOKS_CORRECTED_F4,"Mineral book PDF p.16 (printed xvi), macromineral summary, Calcium row","sex and age specific; pregnancy/lactation follows same-age female UL",agent_visual_verified_not_expert,,
